date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1132_2_CS2.lma,517.3398,0,no,611,611,1127,564,878,6,70,0.35,-0.04,174,399,517,611,3851,517,952,611,517,0.89,0,2748,0.16,0.27
1132_CS2.lma,450.6723,0,no,869,822,1432,822,1216,8,56,0.4,-0.02,113,390,869,822,3898,822,1430,1080,822,0.88,1,2607,0.2,0.29
1133_2_CS1.lma,504.0063,0,no,305,470,517,305,454,4,56,0.27,0.02,28,101,305,470,986,305,463,493,305,0.53,0,587,0.15,0.38
1133_CS1.lma,717.3423,0,no,939,1057,1738,822,1480,18,301,0.37,-0.01,182,638,775,681,4344,681,1619,1644,1386,0.61,0.98,2912,0.26,0.39
1134_CS2.lma,722.6757,0,no,916,1268,1386,728,1272,8,221,0.25,-0.02,113,505,611,658,1386,305,1205,1386,305,0.29,0,634,0.12,0.23
1135_2_CS1.lma,978.6789,0,no,939,1174,1245,822,1122,4,113,0.81,0.01,56,260,3264,1174,3264,423,1165,1151,3264,0.31,0,2841,0.17,0.37
1135_CS2.lma,576.0072,0,no,1198,798,1738,798,1491,28,254,0.14,-0.08,143,527,1198,798,3358,798,1516,1479,798,0.75,1,1808,0.26,0.37
1136_CS1.lma,613.341,0,no,775,1479,1597,775,1441,8,141,0.59,0.06,112,503,775,1479,2724,775,1465,798,1479,0.03,1,1456,0.25,0.34
1140_CS1.lma,677.3418,0,no,798,1339,1691,798,1382,12,169,0.24,0.03,184,509,798,1339,4297,798,1478,1221,1339,0.14,1,2888,0.25,0.4
1142_CS2.lma,453.339,0,no,939,1151,1479,939,1337,10,86,0.36,0.01,74,387,939,1151,2865,939,1608,1409,1151,0.65,1,1479,0.28,0.4
1143_2_CS1.lma,816.0102,0,no,751,845,1033,493,746,10,197,0.11,-0.01,127,270,751,845,2466,493,858,775,1010,0.62,0.12,1503,0.38,0.62
1143_CS1.lma,493.3395,0,no,1127,1339,1386,775,1309,16,470,0.51,-0.01,74,509,1127,1339,2771,775,1627,1362,1339,0.45,1,1785,0.25,0.41
1145_CS2.lma,426.672,0,no,892,986,1386,705,1157,19,272,0.94,-0.01,169,439,493,986,2513,493,1150,1362,986,0.51,1,1245,0.25,0.37
1146_CS2.lma,653.3415,0,no,1080,611,1080,540,817,9,216,0,-0.04,149,391,1080,611,1080,540,817,963,1080,0.23,0,540,0.18,0.38
1147_CS1.lma,685.3419,0,no,963,728,1362,681,1065,11,108,0.71,0.06,157,544,963,728,3898,681,1282,1245,728,0.77,1,2607,0.23,0.47
1148_CS2.lma,669.3417,0,no,1386,1573,1644,845,1460,9,291,0.31,-0.05,129,480,1386,1573,3288,751,1701,1339,1456,0.8,0.04,1714,0.63,0.88
1149_CS2.lma,682.6752,0,no,1033,1479,1597,798,1410,16,282,0.3,0.03,130,684,517,634,1597,517,1250,1597,681,0.32,0.06,963,0.18,0.29
1152_CS2.lma,576.0072,0,no,869,728,1362,705,1175,10,174,0.44,-0.02,162,457,869,728,1362,705,1175,1292,869,0.27,0.93,423,0.15,0.26
1154_CS3.lma,714.6756,0,no,986,681,1362,658,1210,19,498,0.2,-0.05,127,434,376,376,1362,376,1161,1315,376,0.6,1,681,0.15,0.24
1156_CS2.lma,448.0056,0,no,822,869,892,728,847,2,75,0.98,0,27,111,822,869,1597,775,867,869,869,0.38,1,822,0.18,0.66
1161_CS3.lma,784.0098,0,no,916,1221,1432,705,1271,7,235,0.54,0.02,114,622,2724,658,2724,658,1278,1198,2724,0.17,0,1808,0.17,0.27
1163_CS1.lma,845.3439,0,no,798,1315,1315,798,1156,7,244,0.47,0.03,92,437,329,540,1315,329,1081,1010,329,0.16,0,798,0.18,0.4
1165_CS1.lma,400.005,0,no,751,751,963,728,817,13,94,0.15,-0.03,52,128,751,751,1432,728,833,798,751,0.6,0,493,0.7,0.87
1168_CS1.lma,784.0098,0,no,493,587,611,493,589,2,38,0.29,0.01,22,70,493,587,611,493,589,587,587,0.25,1,94,0.11,0.35
1173_CS1.lma,506.673,0,no,658,798,1339,634,1106,11,122,0.65,0.08,177,567,658,798,2560,611,1118,1339,798,0.7,1,1268,0.26,0.37
