date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
MTB027_FAN_CS.lma,714.6756,0,no,822,1057,1245,822,1159,6,113,0.61,0.01,66,335,822,1057,1245,822,1159,1174,1057,0.18,1,282,0.54,0.81
MTB030_FAN_CS.lma,554.6736,0,no,845,587,916,423,607,9,169,0.87,0,87,307,845,587,1127,282,824,634,587,0.2,1,611,0.23,0.49
MTB033_EDG_CS1.lma,413.3385,0,no,775,728,1245,728,1127,9,103,0.38,-0.01,88,379,775,728,1245,728,1127,1198,728,0.73,1,258,0.46,0.61
MTB036_EDG_CS1.lma,512.0064,0,no,939,681,939,540,707,7,266,0,0.03,49,299,1057,681,1362,634,817,775,1057,0.66,0,705,0.44,0.62
MTB036_KOC_CS1.lma,917.3448,0,no,681,587,1386,587,1067,8,80,0.71,0,203,495,681,587,1386,587,1067,775,1104,0.89,0.17,188,0.44,0.71
MTB042_1_KOC_CS1.lma,861.3441,0,no,986,705,1057,564,820,8,169,0.6,0,63,264,986,705,1057,329,786,869,705,0.39,1,681,0.4,0.65
MTB042_2_KOC_CS1.lma,448.0056,0,no,869,658,1245,587,991,17,197,0.34,-0.09,163,387,869,658,1245,517,984,1198,869,0.56,0,564,0.18,0.42
MTB042_EDG_CS2.lma,698.6754,0,no,705,751,1127,611,990,7,172,0.39,-0.01,105,342,705,423,1127,399,969,775,1010,0.89,0.98,681,0.43,0.59
MTB044_FAN_CS.lma,461.3391,0,no,822,916,1221,822,1047,9,103,0.58,0.02,111,197,822,916,2442,822,1131,1057,916,0.33,1,1221,0.26,0.34
MTB048_EDG_CS1.lma,442.6722,0,no,634,728,798,470,627,13,160,0.14,0.04,76,229,963,728,1057,587,930,1057,728,0.35,1,423,0.22,0.38
MTB049_EDG_CS2.lma,378.6714,0,no,822,939,1315,798,1070,15,108,0.39,-0.01,127,270,822,939,4767,798,2130,845,939,0.04,1,2701,0.38,0.49
MTB050_KOC_CS2.lma,392.0049,0,no,775,728,798,728,758,3,28,0.38,-0.01,21,46,775,728,798,728,758,775,728,0.35,1,70,0.47,0.61
MTB052_LON_CS1.lma,722.6757,0,no,892,1292,1503,751,1347,12,188,0.56,0.03,85,508,587,1292,5988,564,1651,1409,1292,0.37,1,4532,0.33,0.5
MTB054_EDG_CS1.lma,672.0084,0,no,634,798,869,517,658,7,122,0.14,0,88,221,634,798,2536,634,1301,798,798,0.88,1,1409,0.8,0.94
MTB055_EDG_CS1.lma,749.3427,0,no,822,751,1479,681,948,19,409,0.47,0.02,97,534,423,751,3147,423,983,705,751,0.26,1,2442,0.26,0.38
MTB056_EDG_CS4.lma,997.3458,0,no,352,681,681,352,623,4,56,0.34,0.01,60,237,329,1151,1362,329,759,658,1151,0.29,1,681,0.27,0.52
MTB057_KOC_CS2.lma,621.3411,0,no,352,681,705,352,640,4,66,0.58,0.04,43,197,329,681,1292,329,736,658,1268,0.81,0.97,634,0.35,0.5
MTB058_EDG_CS5.lma,637.3413,0,no,587,611,1010,587,891,5,85,0.4,-0.02,77,347,587,611,3851,587,1577,611,3851,0.03,0.4,2912,0.26,0.58
MTB059_EDG_CS.lma,533.34,0,no,470,634,728,376,621,8,150,0.06,0.03,49,195,470,634,1033,376,636,658,470,0.39,0,540,0.15,0.55
MTB059_KOC_CS.lma,418.6719,0,no,376,399,681,352,563,7,108,0.18,0,86,214,376,399,681,352,563,587,399,0.73,1,258,0.69,0.91
MTB059_LAM_CS1.lma,610.6743,0,no,869,939,1010,775,930,7,103,0.31,0,58,148,869,939,1010,775,930,869,939,0.14,1,141,0.69,0.86
MTB060_LON_CS1.lma,578.6739,0,no,1221,1033,1550,1033,1398,6,56,0.17,-0.04,72,281,1221,1033,1550,1033,1398,1292,1033,0.89,1,141,0.33,0.53
MTB061_LON_CS2.lma,253.3365,0,no,1198,822,1198,681,1002,6,94,0,-0.27,38,115,1198,822,1198,681,1002,892,822,0.69,1,141,0.44,0.69
MTB063_EDG_CS5.lma,776.0097,0,no,634,681,1010,634,893,3,85,0.34,0.01,128,277,634,423,1010,423,891,751,423,0.17,1,258,0.5,0.73
MTB066_EDG_CS1.lma,490.6728,0,no,634,681,1104,587,813,24,296,0.96,0.02,102,284,5378,681,5378,423,1084,728,5378,0.46,0,4650,0.3,0.45
MTB067_LAM_CS2.lma,493.3395,0,no,1010,822,1174,634,855,8,230,0.05,-0.01,54,300,1010,822,1174,634,855,892,775,0.43,0.93,540,0.57,0.96
MTB069_LON_CS1.lma,717.3423,0,no,423,1080,1127,399,859,22,338,0.59,-0.01,228,493,423,1080,1127,352,849,1104,423,0.21,0,728,0.23,0.51
MTB072_LON_CS1.lma,1048.0131,0,no,446,681,869,446,752,2,127,0.07,0,32,315,446,681,1409,446,757,775,681,0.26,1,705,0.14,0.42
MTB076_EDG_CS1.lma,549.3402,0,no,305,399,493,305,391,2,56,0.92,0.02,16,74,305,399,869,305,757,822,493,0.6,0.94,399,0.4,0.76
MTB078_LAM_CS2.lma,624.0078,0,no,540,611,728,540,673,5,94,0.27,-0.01,39,150,1080,1104,1221,587,732,681,587,0.12,0.94,611,0.77,0.92
MTB079_EDG_CS1.lma,344.0043,0,no,423,658,658,352,399,5,204,1,-0.01,16,273,751,705,845,705,789,822,751,0.56,0,23,0.19,0.38
MTB080_EDG_CS2.lma,325.3374,0,no,1174,798,1245,634,900,37,225,0.24,0,148,347,611,798,1245,611,877,845,798,0.5,0.94,540,0.42,0.62
MTB087_EDG_CS3.lma,821.3436,0,no,611,564,1221,564,986,15,357,0.21,0.02,144,481,376,493,3687,376,1514,798,564,0.08,0.96,2466,0.33,0.52
MTB094_EDG_CS.lma,624.0078,0,no,775,1221,1386,775,1198,4,38,0.54,0.11,105,279,775,1221,1386,658,945,916,775,0.07,0,705,0.19,0.52
MTB097_EDG_CS6.lma,696.0087,0,no,751,751,1221,728,1068,5,85,0.55,-0.04,121,434,751,751,2372,728,1164,1198,751,0.37,0,1221,0.25,0.42
MTB098_EDG_CS4.lma,768.0096,0,no,892,986,1785,658,1084,15,418,0.04,-0.02,142,653,470,517,3546,446,1592,1010,517,0.14,1,2348,0.33,0.53
MTB100_EDG_CS1.lma,696.0087,0,no,681,822,1080,611,907,11,178,0.14,0.02,94,258,681,822,1080,611,907,822,963,0.3,0.95,446,0.33,0.44
MTB104_EDG_CS3.lma,1021.3461,0,no,305,611,611,305,553,3,66,0.57,0.01,47,194,305,611,1198,282,704,587,611,0.35,1,634,0.4,0.68
MTB104_KOC_CS7.lma,368.0046,0,no,1080,705,1104,634,887,10,169,0.42,-0.08,148,344,1080,705,1104,399,885,1080,705,0.37,1,681,0.23,0.36
MTB107_LAM_CS2.lma,720.009,0,no,845,705,1033,705,939,5,89,0.28,0,85,224,845,705,3029,705,1146,845,705,0.13,1,2020,0.22,0.38
MTB109_LAM_CS2.lma,581.3406,0,no,1127,845,1268,634,1031,24,282,0.11,0,166,397,1127,845,2536,564,1095,587,845,0.57,1,1973,0.31,0.42
MTB112_LON_CS2.lma,621.3411,0,no,1057,1127,1573,822,1387,7,204,0.29,-0.02,156,511,1057,1127,3147,822,1553,1151,1127,0.09,1,1597,0.29,0.42
MTB118_KOC_CS1.lma,562.6737,0,no,1221,1080,1597,1080,1421,5,56,0.74,-0.01,98,324,1221,1080,4556,1080,1510,1386,1526,0.83,0.5,3029,0.41,0.5
MTB118_LON_CS.lma,842.6772,0,no,728,845,869,705,759,2,56,0.95,0.01,21,81,2912,845,3616,705,1250,775,2912,0.43,0,2888,0.16,0.35
MTB122_LON_CS1.lma,794.6766,0,no,681,1104,1198,681,1018,4,106,0.76,0.05,61,304,681,1104,1198,305,1014,1174,1198,0.86,0.77,517,0.19,0.73
MTB136_KOC_CS3.lma,704.0088,0,no,658,611,845,470,690,4,75,0.1,-0.03,52,138,658,611,2536,282,753,658,611,0.78,1,1902,0.17,0.26
MTB137_KOC_CS2.lma,746.676,0,no,493,517,845,493,703,4,103,0.24,0,39,220,493,517,2865,493,719,681,517,0.33,1,2372,0.16,0.33
MTB144_LAM_CS1.lma,762.6762,0,no,939,1409,1550,798,1379,14,197,0.53,0.03,116,496,939,352,2935,282,1388,1479,352,0.62,1,2536,0.31,0.43
