date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK143_FO_CS2.lma,954.6786,0,no,845,705,1080,564,816,4,207,0.04,0,52,262,845,705,1080,564,816,845,845,0.29,0,517,0.12,0.26
KSK144_FO_CS2.lma,749.3427,0,no,658,423,728,423,570,4,108,0,-0.03,26,209,658,423,1503,423,645,658,423,0.18,1,493,0.2,0.39
KSK146_FND_CS4.lma,746.676,0,no,1386,728,1386,658,998,6,282,0,-0.01,65,377,1386,728,1386,658,998,963,1386,0.92,0,705,0.2,0.39
KSK148_SN_CS2.lma,1165.3479,0,no,705,822,1245,634,1030,10,244,0.17,-0.01,137,437,705,822,3734,634,2120,3569,705,0.43,0,2935,0.2,0.31
KSK149_SN_CS1.lma,690.6753,0,no,869,728,1127,423,696,6,244,0.02,0.02,58,496,869,728,1268,423,706,728,869,0.97,0,845,0.2,0.38
KSK156_1_FO_CS1.lma,1266.6825,0,no,305,329,423,305,339,2,38,0.02,0,15,81,282,2395,4556,282,685,705,963,0.46,0.03,4227,0.22,0.6
KSK156_2_FO_CS2.lma,728.0091,0,no,822,1268,1268,751,1023,9,193,0.99,0,100,278,822,1268,2231,751,1331,869,1268,0.11,1,1127,0.32,0.44
KSK159_FO_CS1.lma,845.3439,0,no,705,681,1315,517,848,13,405,1,0.01,88,414,705,282,1644,282,899,869,822,0.38,0.98,1057,0.27,0.45
KSK161_FO_CS2.lma,864.0108,0,no,540,681,1550,540,940,15,385,0.07,0,130,597,399,681,1550,352,919,939,798,0.22,0.88,1198,0.25,0.44
KSK163_FU_CS1.lma,1042.6797,0,no,611,986,1198,611,1004,3,61,0.75,0.04,69,306,611,986,1198,611,1004,1174,986,0.71,1,141,0.21,0.37
