date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK168_SN_BE3.lma,498.6729,0,no,282,258,446,258,288,4,80,0.85,0.01,21,144,94,94,423,94,260,305,282,0.45,0.93,188,0.19,0.5
KSK169_SN_BE3.lma,317.3373,0,no,258,399,423,258,297,5,103,0.14,0.03,16,152,94,399,423,94,261,305,94,0.62,0,188,0.16,0.49
KSK170_SN_BE3.lma,397.3383,0,no,235,141,282,141,236,6,61,0.64,0,24,96,94,94,6247,94,504,235,6129,0.24,0.08,6012,0.25,0.65
KSK171_SN_BE3.lma,586.674,0,no,164,188,258,141,209,3,52,0.68,0.02,21,101,94,188,6059,94,349,258,117,0.8,0.04,5894,0.35,0.7
KSK172_SN_BE3.lma,445.3389,0,no,141,141,282,141,240,4,47,0.59,0.02,28,134,94,94,282,94,228,282,94,0.8,0.08,117,0.22,0.66
KSK184_SN_BE3.lma,354.6711,0,no,141,258,258,141,226,3,19,0.39,0.02,27,72,94,258,423,94,227,211,164,0.23,0.13,235,0.22,0.59
KSK190_SN_BE2.lma,349.3377,0,no,164,329,352,141,301,4,70,0.84,0.04,22,105,94,329,1902,94,344,329,1902,0.52,0.09,1691,0.3,0.63
KSK195_FU_BE2.lma,309.3372,0,no,305,211,352,211,310,5,66,0.67,0.01,26,106,94,564,1010,94,376,329,305,0.31,0.03,681,0.14,0.53
KSK201_FU_BE2.lma,264.0033,0,no,258,352,352,258,318,6,42,0.35,0.03,23,86,258,376,399,258,332,258,376,0.15,1,70,0.17,0.37
KSK217_FU_BE1.lma,448.0056,0,no,164,141,305,141,275,4,66,0.36,0.01,30,153,94,94,939,94,679,892,282,0.41,0.07,634,0.2,0.51
KSK220_ZS_BE1.lma,608.0076,0,no,141,188,258,141,214,4,42,0.53,0,28,77,94,94,1526,94,214,235,117,0.28,0.92,1432,0.31,0.6
KSK227_SN_BE3.lma,352.0044,0,no,305,188,352,164,252,5,136,0.89,-0.01,32,108,305,188,376,94,256,258,117,0.31,0.1,211,0.24,0.64
KSK230_1_FND_BE4.lma,224.0028,0,no,517,446,517,329,406,9,85,0,0.01,48,118,892,446,892,329,469,376,892,0.43,0,399,0.3,0.71
KSK230_2_FND_BE2.lma,173.3355,0,no,470,470,470,352,425,5,38,0,-0.03,30,74,470,470,470,352,425,399,470,0.62,0,94,0.22,0.45
KSK231_1_FND_BE4.lma,205.3359,0,no,470,282,470,282,403,6,66,0,-0.08,34,91,470,282,470,282,403,399,470,0.54,0,164,0.22,0.52
KSK234_FND_BE7.lma,186.669,0,no,470,399,470,282,371,6,70,0,-0.03,49,103,470,399,470,282,371,352,470,0.62,0,164,0.16,0.34
KSK239_FND_BE6.lma,221.3361,0,no,470,423,470,282,402,8,75,0,0.01,46,115,470,423,470,282,402,423,282,0.89,0.12,188,0.17,0.4
KSK241_1_SL_BE2.lma,381.3381,0,no,352,329,423,211,317,4,70,0.85,0.02,25,83,352,329,634,211,319,329,352,0.59,0.95,282,0.23,0.63
KSK241_2_SL_BE1.lma,418.6719,0,no,305,329,470,235,302,6,85,0.19,-0.01,44,161,751,141,775,141,363,282,751,0.48,0,470,0.28,0.54
KSK242_SL_BE4.lma,336.0042,0,no,188,282,305,188,275,2,9,0.38,0.03,25,49,94,282,305,94,271,305,282,0.53,1,70,0.29,0.57
KSK243_SL_BE7.lma,330.6708,0,no,211,188,517,188,348,29,202,0.15,0.03,97,204,94,94,1104,94,596,611,587,0.2,0.09,681,0.4,0.56
KSK244_ZS_BE4.lma,336.0042,0,no,188,329,329,188,246,5,103,0.14,0.04,22,125,94,329,728,94,248,258,329,0.47,1,611,0.26,0.49
KSK246_FND_BE3.lma,250.6698,0,no,188,211,493,188,291,8,225,0.12,0.04,39,238,188,211,1080,188,382,282,211,0.31,1,845,0.26,0.46
KSK251_FU_BE1.lma,261.3366,0,no,235,188,446,188,373,9,85,0.4,0.04,55,227,94,94,446,94,322,399,94,0.69,0.85,305,0.45,0.68
KSK259_SN_BE3.lma,301.3371,0,no,211,258,329,188,294,2,16,0.6,0.04,21,87,94,258,869,94,310,329,94,0.76,0,751,0.2,0.46
KSK274_ZS_BE5.lma,317.3373,0,no,235,211,470,188,383,9,99,0.42,0.07,69,292,94,94,470,94,347,470,329,0.58,0.19,352,0.48,0.65
KSK280_ZS_BE2.lma,402.6717,0,no,211,517,517,188,318,5,75,0.92,0.05,52,178,728,611,798,211,609,634,329,0.64,0.9,540,0.3,0.62
KSK281_ZS_BE4.lma,298.6704,0,no,305,258,470,188,333,11,113,0.14,-0.02,65,164,869,681,869,235,589,681,681,0.26,1,470,0.39,0.64
KSK306_FO_BE2.lma,338.6709,0,no,258,188,282,188,257,2,19,0.02,0.01,18,79,822,164,822,164,296,282,822,0.63,0,564,0.15,0.24
KSK306_FU_BE1.lma,304.0038,0,no,235,517,517,188,229,10,136,0.99,0.05,57,220,235,2489,3170,94,403,188,2489,0.42,1,1949,0.42,0.72
KSK311_GIM_BE6.lma,320.004,0,no,352,282,352,282,305,3,31,0,-0.01,13,36,352,282,587,282,310,329,352,0.23,0,282,0.15,0.58
KSK318_FU_BE3.lma,325.3374,0,no,282,258,352,188,260,3,70,0.12,-0.01,15,83,282,258,352,188,260,258,282,0.34,0,164,0.25,0.53
KSK322_FU_BE2.lma,245.3364,0,no,446,399,517,211,407,16,125,0.86,0.01,45,206,728,611,845,329,535,376,728,0.37,0,446,0.18,0.36
KSK354_FU_BE3.lma,282.6702,0,no,282,211,517,211,346,17,150,0.4,0.02,67,177,7045,6364,9558,235,4393,7820,7045,0.37,0,9323,0.68,0.79
KSK401_SN_BE2.lma,317.3373,0,no,188,188,493,188,295,11,188,0.97,0.03,41,193,7162,6364,7609,235,1947,282,6364,0.69,1,7256,0.63,0.74
KSK404_SN_BE3.lma,325.3374,0,no,235,211,517,188,321,15,160,0.21,0.05,78,238,94,94,6528,94,638,94,6481,0.06,0.12,6434,0.61,0.73
KSK413_SN_BE3.lma,360.0045,0,no,211,188,470,188,303,9,85,0.19,-0.03,44,145,9558,7068,9558,258,3291,564,9558,0.65,0,9135,0.71,0.81
KSK452_FU_BE3.lma,248.0031,0,no,188,376,517,188,381,9,132,0.03,-0.04,35,233,94,1033,3757,94,765,1033,1033,0.76,1,3640,0.56,0.72
KSK467_SL_BE2.lma,320.004,0,no,258,282,352,235,290,3,38,0.88,0.02,16,50,258,282,751,235,327,305,282,0.44,1,470,0.54,0.71
KSK469_SL_BE2.lma,370.6713,0,no,211,188,517,188,374,12,170,0.01,-0.05,68,269,1010,94,6200,94,953,845,3358,0.38,0.93,6106,0.63,0.75
KSK484_FU_BE1.lma,288.0036,0,no,211,188,423,188,326,7,66,0.12,-0.02,46,157,94,6740,6834,94,4045,352,6740,0.42,1,6716,0.39,0.56
KSK486_FU_BE3.lma,290.6703,0,no,188,188,423,188,320,5,19,0.43,-0.01,74,142,94,94,775,94,338,329,235,0.25,0.88,681,0.62,0.78
KSK488_SN_BE3.lma,226.6695,0,no,188,376,376,188,293,6,85,0.8,0.08,20,97,6317,94,6317,94,1491,305,94,0.6,1,5894,0.61,0.73
KSK506_FU_BE3.lma,280.0035,0,no,188,399,517,188,350,11,141,0.12,-0.03,41,203,5237,399,5237,258,1461,376,5237,0.6,0,4415,0.62,0.67
KSK507_FU_BE3.lma,349.3377,0,no,188,188,352,188,278,5,65,0.09,0,23,97,94,94,6341,94,1249,282,6200,0.57,0.92,6082,0.56,0.6
