date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1165_BE4.lma,290.6703,0,no,188,188,329,188,248,7,38,0.55,-0.01,33,83,188,188,329,188,248,258,188,0.22,0.88,94,0.94,0.99
1168_BE4.lma,269.3367,0,no,235,258,282,211,248,2,28,0.05,0.01,13,44,798,258,1221,211,313,258,258,0.46,1,1010,0.18,0.55
1173_BE5.lma,274.6701,0,no,305,564,564,235,329,13,122,0.13,0.04,70,274,798,728,1245,235,504,282,798,0.43,0,634,0.14,0.24
1177_BE4.lma,200.0025,0,no,305,282,564,235,300,15,113,0.12,-0.04,47,241,305,282,705,94,336,282,305,0.61,0,493,0.19,0.52
1181_BE1.lma,346.671,0,no,423,329,423,305,329,2,38,0,-0.01,15,86,423,329,423,305,329,305,423,0.17,0,94,0.13,0.39
1183_BE3.lma,456.0057,0,no,493,564,564,211,327,13,211,0.95,0.01,67,227,1080,94,3170,94,380,305,1080,0.61,0,2771,0.53,0.73
1185_BE5.lma,264.0033,0,no,376,493,493,282,339,6,56,0.99,0.02,54,135,845,493,1033,94,426,305,845,0.47,0,728,0.27,0.39
1188_BE3.lma,274.6701,0,no,376,258,376,235,290,4,52,0,-0.03,29,77,376,751,775,235,341,258,751,0.28,1,540,0.24,0.46
1197_BE5.lma,298.6704,0,no,211,305,352,211,272,4,61,0.82,0.03,18,87,211,305,352,211,272,258,305,0.32,0.91,141,0.22,0.48
1201_BE4.lma,176.0022,0,no,470,446,470,329,365,8,70,0,0.04,22,131,470,446,658,329,415,352,446,0.37,1,305,0.14,0.39
1203_BE3.lma,344.0043,0,no,211,352,564,211,366,8,117,0.91,0,27,193,117,352,728,117,405,399,305,0.2,0.01,352,0.23,0.46
1204_BE6.lma,328.0041,0,no,258,211,329,211,270,4,28,0.56,0.01,25,72,1010,211,1010,211,312,305,1010,0.46,0.05,775,0.41,0.66
1209_BE3.lma,368.0046,0,no,352,329,376,211,287,5,75,0.03,0,48,93,352,329,1996,188,321,235,352,0.32,0,1785,0.41,0.54
1213_BE3.lma,384.0048,0,no,329,352,540,282,349,5,89,0.03,-0.02,33,155,1198,1198,1386,282,538,329,1198,0.73,0,1057,0.44,0.68
1215_BE3.lma,373.338,0,no,446,235,517,235,256,6,132,0.01,-0.01,27,239,94,235,1151,94,242,258,1151,0.62,0.04,1057,0.16,0.42
1218_BE4.lma,317.3373,0,no,258,211,470,211,243,6,150,0.93,-0.01,19,235,728,681,728,188,287,235,728,0.34,0,517,0.24,0.47
1222_BE7.lma,266.67,0,no,376,423,423,305,363,4,38,0.96,0.01,30,70,822,423,822,305,391,305,822,0.24,0,470,0.21,0.44
1233_BE3.lma,317.3373,0,no,211,282,329,211,262,5,47,0.82,0.01,27,66,188,282,305,117,251,305,117,0.47,0.89,94,0.35,0.58
1240_BE3.lma,330.6708,0,no,305,282,376,211,293,6,75,0.93,0.03,25,93,822,282,822,188,300,258,822,0.2,0,470,0.22,0.46
1241_BE2.lma,338.6709,0,no,305,305,305,235,286,3,28,0,-0.01,19,58,305,305,305,235,286,305,305,0.34,0,70,0.14,0.3
1243_BE3.lma,194.6691,0,no,493,399,493,211,272,15,106,0,-0.03,28,195,493,399,493,211,272,258,493,0.53,0,211,0.14,0.32
1247_BE3.lma,232.0029,0,no,305,258,399,211,296,10,99,0.15,0.02,26,119,305,658,705,188,315,305,658,0.69,1,423,0.67,0.88
