vtype,feature,category,KSK_mean,KSK_sd,MTB_mean,MTB_sd,KAN_mean,KAN_sd,KW_stat,KW_p,p_KSK_MTB,p_KSK_KAN,p_MTB_KAN,sig_KSK_MTB,sig_KSK_KAN,sig_MTB_KAN
pant,duration,Duration,333.8080941176471,85.33800435186417,333.76417200000003,83.19652700067964,294.12488863636366,67.41982108127576,11.936934867760563,0.002558158964034949,1.0,0.004852928825714915,0.025330861501973157,n.s.,**,*
pant,F0start,Fundamental Freq,284.0882352941176,100.09819717296595,270.06,87.53888507400582,322.0568181818182,101.75598686368929,12.699479797935938,0.0017472015260850276,1.0,0.01189149681139057,0.00475187577689004,n.s.,*,**
pant,F0end,Fundamental Freq,299.7156862745098,96.25521401217196,285.08,88.696750786035,311.42045454545456,87.21026336479568,2.923072986081642,0.23187971930242335,1.0,1.0,0.254873447307818,n.s.,n.s.,n.s.
pant,F0max,Fundamental Freq,434.27450980392155,102.25268171973465,413.82,86.86810461843864,397.14772727272725,94.73954005261038,5.381836642104629,0.06781863148978409,1.0,0.05993814383112793,0.7401178503605158,n.s.,n.s.,n.s.
pant,F0min,Fundamental Freq,223.7549019607843,49.994202855011444,210.84,39.66679215666424,224.0568181818182,38.18833649717526,5.299254801516081,0.0706775425537294,0.45438323727423097,1.0,0.03242010134635034,n.s.,n.s.,*
pant,F0mean,Fundamental Freq,316.2843137254902,58.50328924069148,311.58,49.994035644264606,294.0568181818182,47.273949667324814,10.114902469263718,0.0063617534837865555,1.0,0.009491170632802741,0.055976920219189694,n.s.,**,n.s.
pant,lmmean,Loudness,7.431372549019608,6.334638364906746,6.24,3.478850384825424,5.670454545454546,3.433529826012248,5.38971698262554,0.06755194028429191,1.0,0.05890843939122838,0.8770055571862015,n.s.,n.s.,n.s.
pant,lmmax,Loudness,86.34313725490196,58.46642996878539,76.58,49.38221947219464,68.27272727272727,48.13468964382588,5.635461136347313,0.059741367943407196,1.0,0.054110292383982066,0.8610358819543056,n.s.,n.s.,n.s.
pant,F0loc,Fundamental Freq,0.4294117647058823,0.34293377720467577,0.36660000000000004,0.3165666438524438,0.3089772727272727,0.36632399895549267,8.717210436349884,0.012796223147805846,0.810185223504741,0.011922087319518049,0.36083527243641705,n.s.,*,n.s.
pant,trfak,Timbre/Roughness,0.009607843137254903,0.032295254572413,0.0092,0.0289025950392002,0.004545454545454544,0.021789754207648882,2.2663702190006356,0.3220059969636897,1.0,0.3972006256608425,1.0,n.s.,n.s.,n.s.
pant,trmean,Timbre/Roughness,37.53921568627451,20.920799092744275,37.46,18.983371671017768,28.875,16.07497525800443,13.118133699821417,0.0014172075608703872,1.0,0.0018354208820421398,0.030083108739894122,n.s.,**,*
pant,trmax,Timbre/Roughness,140.85294117647058,74.77618854757458,122.42,55.8802612735481,109.2840909090909,63.47135160191214,9.368356036845086,0.009240326869912913,0.7181640367317471,0.007351393858860051,0.4442638698504127,n.s.,**,n.s.
pant,Pfstart,Pitch Formant,628.3235294117648,1538.8793424511348,417.04,842.4287260059454,551.8636363636364,1077.3505926980208,22.299937064393408,1.4375739455853051e-05,1.0,3.21443286242507e-05,0.002407703372731552,n.s.,***,**
pant,Pfend,Pitch Formant,553.2352941176471,1266.440868753233,269.6,185.93246085608612,527.8636363636364,1095.4450961493626,13.878697632426043,0.0009689003239617433,1.0,0.008372571052436724,0.0025147178701358554,n.s.,**,**
pant,Pfmax,Pitch Formant,1866.7058823529412,2487.7592547457725,1115.0,1541.1735139172356,938.6022727272727,1186.939719881005,1.7062409675193573,0.4260832693912079,1.0,0.5385843326297681,1.0,n.s.,n.s.,n.s.
pant,Pfmin,Pitch Formant,154.05882352941177,106.92454949584979,171.86,80.55880088481953,203.2840909090909,75.81765638443396,22.22177052570622,1.4948714284642899e-05,0.10844757032542962,5.925119608179696e-06,0.23557379211130938,n.s.,***,n.s.
pant,Pfmean,Pitch Formant,552.9705882352941,666.5707596094511,389.78,182.21989902313084,364.35227272727275,276.98268898043915,4.230567000157834,0.12059909485337901,1.0,0.21600524238009494,0.2668111117409384,n.s.,n.s.,n.s.
pant,Pfmaxamp,Pitch Formant,450.27450980392155,763.956011423083,334.88,120.36156197058926,294.79545454545456,73.14356354751764,10.438350679891299,0.005411790173943283,1.0,0.010536509637515196,0.033179195864626115,n.s.,*,*
pant,Pfminamp,Pitch Formant,986.3039215686274,1874.5249112577292,560.72,1192.893608667596,639.7045454545455,1121.9410144830872,9.945535246753058,0.006923958582775225,0.7128308673800867,0.1729003369156149,0.0029317791530798,n.s.,n.s.,**
pant,Pfmaxloc,Pitch Formant,0.4554901960784314,0.19180069031639044,0.41759999999999997,0.18333095756036402,0.4418181818181818,0.15226729976758763,1.3010616326152653,0.5217687398837318,0.7295952145796599,1.0,1.0,n.s.,n.s.,n.s.
pant,Pfminloc,Pitch Formant,0.4225490196078431,0.4628633946499572,0.5134,0.4588359619733397,0.36624999999999996,0.4668665190296999,5.83609460850604,0.0540391062742603,0.5415569661211322,0.45440899427622805,0.06001106784646556,n.s.,n.s.,n.s.
pant,Pfmaxdif,Pitch Formant,1608.7745098039215,2486.214517217845,844.4,1572.3161259746719,632.4318181818181,1151.107725345999,2.7269198780212625,0.25577428081452924,0.5920358312947017,0.47832876967507554,1.0,n.s.,n.s.,n.s.
pant,noise_mean,Noise,0.3263725490196078,0.1547723769223965,0.5012000000000001,0.25252833504381245,0.32693181818181816,0.20609109831767386,23.878609376686867,6.528687120948361e-06,6.315411840052246e-05,0.8262310195286117,2.380817560927766e-05,***,n.s.,***
pant,noise_max,Noise,0.581078431372549,0.12838290508906564,0.7172000000000002,0.20999085694382028,0.5603409090909092,0.18205549143821484,20.316832330233986,3.874859096122566e-05,0.001819956018329673,0.09707358136404559,0.00015217565037673207,**,n.s.,***
hoot,duration,Duration,839.0427459677418,261.6200431371251,632.3005865853659,192.42560920385714,746.9088071428571,243.47122831631748,36.60488848079354,1.1255102670727385e-08,2.0325022924856904e-08,0.0019910345506476833,0.002425195005814662,***,**,**
hoot,F0start,Fundamental Freq,809.983870967742,231.79071427416002,744.280487804878,249.50425356314773,776.2380952380952,189.76302801842377,3.0655215132897244,0.21593868946806427,0.3402017816307286,0.5699820075683916,1.0,n.s.,n.s.,n.s.
hoot,F0end,Fundamental Freq,925.2903225806451,296.04265642382785,804.7317073170732,213.20315794007755,931.3095238095239,277.3121690724124,14.468420412366108,0.0007214768932988178,0.0015044201115798005,1.0,0.0026863290450129655,**,n.s.,**
hoot,F0max,Fundamental Freq,1280.6209677419354,304.62042993625255,1094.0121951219512,285.466220884211,1310.3968253968253,309.7409332074268,27.8786398770647,8.835482462963566e-07,6.740881175697636e-05,0.8175459280439752,1.5703800702682242e-06,***,n.s.,***
hoot,F0min,Fundamental Freq,665.8790322580645,184.61990564495963,604.5853658536586,185.8650146969052,668.7380952380952,140.5631631490524,9.999557186554602,0.006739438991010682,0.038594534511186114,1.0,0.005402761617251403,*,n.s.,**
hoot,F0mean,Fundamental Freq,1029.016129032258,238.45615624162807,899.8048780487804,251.67862972277058,1092.4603174603174,257.7291444857557,29.0973533213239,4.803856295671139e-07,0.0005485194819936076,0.06655457256135647,8.54716478703656e-07,***,n.s.,***
hoot,lmmean,Loudness,9.225806451612904,5.836258619373926,9.609756097560975,6.433062650282743,10.666666666666666,6.262764742685312,5.710090858911859,0.05755320645064291,1.0,0.07572333401149597,0.252308227457347,n.s.,n.s.,n.s.
hoot,lmmax,Loudness,203.76612903225808,130.08199082358985,163.29268292682926,100.41189413135183,205.5952380952381,126.18499763489284,6.59327600199506,0.037007377252954,0.13001475493991946,1.0,0.034548207217291974,n.s.,n.s.,*
hoot,F0loc,Fundamental Freq,0.45322580645161287,0.27591650322766464,0.3707317073170732,0.2710133669991335,0.4463492063492064,0.24352113814121423,6.304305608925942,0.04275997384638087,0.090903711245651,1.0,0.06044939509164694,n.s.,n.s.,n.s.
hoot,trfak,Timbre/Roughness,0.012177419354838712,0.03495528212129006,-0.004146341463414635,0.04643251645319351,0.00873015873015873,0.039660946506009945,5.818336577308329,0.05452105679864262,0.039248425098056046,1.0,0.36619438264169457,*,n.s.,n.s.
hoot,trmean,Timbre/Roughness,90.45161290322581,40.33635893629038,93.13414634146342,45.39844259580857,121.71428571428571,50.96713182117567,31.971024049443947,1.1417744944006071e-07,1.0,2.84413061324765e-07,0.00013880594498237147,n.s.,***,***
hoot,trmax,Timbre/Roughness,397.0241935483871,158.70811429698378,305.5487804878049,130.64102299337944,455.8412698412698,173.87536188719602,44.28142621001359,2.4233183621627824e-10,0.00016607405438504074,0.003792971912919581,2.7221520654741143e-10,***,**,***
hoot,Pfstart,Pitch Formant,843.1209677419355,715.9312635138116,812.2073170731708,621.6071172687322,742.7619047619048,371.1864595524762,2.091224987908002,0.3514764762199495,1.0,0.5248090984234591,0.8638630654153684,n.s.,n.s.,n.s.
hoot,Pfend,Pitch Formant,1193.1048387096773,1073.2972247039643,836.2439024390244,397.6941943490216,939.1666666666666,420.0721546108062,8.409353665205026,0.014925608759896488,0.011492996099911367,0.48055550291350024,0.2945301629736228,*,n.s.,n.s.
hoot,Pfmax,Pitch Formant,3436.9274193548385,2436.0642443902343,2002.6951219512196,1184.197903790603,2329.3174603174602,1200.7184202034098,25.079512516292997,3.5814018422627994e-06,6.4457743006917774e-06,0.01592640626466009,0.010543039987637318,***,*,*
hoot,Pfmin,Pitch Formant,552.4596774193549,233.1296676154208,563.1219512195122,212.96240308538043,576.7777777777778,156.8697715318619,2.3633891002859033,0.3067584802970938,1.0,0.4304894912021651,1.0,n.s.,n.s.,n.s.
hoot,Pfmean,Pitch Formant,1392.6129032258063,661.0689377656979,1041.0,304.1403719562047,1242.357142857143,617.5132729668645,22.29579465710363,1.4405545396242834e-05,3.7549178119718115e-05,0.7831489753232233,0.0002924819090856498,***,n.s.,***
hoot,Pfmaxamp,Pitch Formant,1369.225806451613,1133.7172077180282,945.3658536585366,406.6706737432733,1187.5873015873017,898.0940601023543,17.930171832445925,0.0001277946452663517,0.0003199749005519982,1.0,0.0006701588584641318,***,n.s.,***
hoot,Pfminamp,Pitch Formant,1263.5645161290322,1316.7012498367046,929.609756097561,685.3672641249266,962.3015873015873,518.5601137619265,1.6093596288301184,0.447231100588549,0.6694139249939202,1.0,1.0,n.s.,n.s.,n.s.
hoot,Pfmaxloc,Pitch Formant,0.450483870967742,0.27290212956387766,0.46378048780487796,0.26444437952653993,0.43642857142857144,0.27184106083937476,0.6558772063896259,0.7204072490510425,1.0,1.0,1.0,n.s.,n.s.,n.s.
hoot,Pfminloc,Pitch Formant,0.5367741935483871,0.4877442289585948,0.7018292682926829,0.432979265117183,0.7521428571428572,0.41853790699509735,11.816381239283558,0.0027170987074037877,0.14663478358652027,0.0024227444029884257,0.6410689530565689,n.s.,**,n.s.
hoot,Pfmaxdif,Pitch Formant,2363.717741935484,2125.0012507035553,1158.7682926829268,1023.0478411766037,1262.7301587301588,1043.2566335164925,20.430174012740732,3.661373896746194e-05,8.11826261550492e-05,0.0034046506555639533,0.36752251169687056,***,**,n.s.
hoot,noise_mean,Noise,0.30040322580645157,0.12385865509203252,0.35036585365853656,0.16444618900397115,0.23793650793650792,0.142535528627563,57.833327818306415,2.7647281165265003e-13,0.08797014001444024,1.027450282757509e-09,4.988384716037904e-10,n.s.,***,***
hoot,noise_max,Noise,0.5180645161290323,0.14218160479082695,0.5509756097560976,0.17326569021337146,0.4103174603174603,0.16223115248926284,60.16918076459698,8.59861307253208e-14,1.0,6.245793705317944e-11,4.102634109200021e-10,n.s.,***,***
